1, 1
2, 1
3, 2
4, 1
5, 1
6, 3
7, 4
8, 1
9, 4
10, 2
11, 2
12, 5
13, 6
14, 6
15, 4
16, 1
17, 2
18, 1
19, 1
20, 2
21, 1
22, 1
23, 4
24, 1
25, 1
26, 1
27, 1
28, 1
29, 6
30, 4
31, 4
32, 1
33, 1
34, 7
35, 1
36, 4
37, 4
38, 8
39, 4
40, 4
41, 4
42, 4
43, 6
44, 4
45, 4
46, 4
47, 4
48, 4
49, 4
50, 4
51, 4
52, 4
53, 4
54, 4
55, 4
56, 4
57, 4
58, 4
59, 4
60, 4
61, 4
62, 6
63, 4
64, 4
65, 4
66, 4
67, 4
68, 4
69, 4
70, 1
71, 1
72, 4
73, 4
74, 2
75, 1
76, 3
77, 3
78, 2
79, 1
80, 1
81, 1
82, 1
83, 2
84, 4
85, 1
86, 1
87, 1
88, 1
89, 4
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 1
97, 1
98, 2
99, 1
100, 1
101, 1
102, 2
103, 1
104, 2
105, 1
106, 2
107, 4
108, 4
109, 1
110, 4
111, 9
112, 4
113, 1
114, 1
115, 1
116, 2
117, 2
118, 1
119, 1
120, 1
121, 1
122, 4
123, 4
124, 2
125, 1
126, 1
127, 2
128, 4
129, 1
130, 2
131, 4
132, 5
133, 2
134, 1
135, 2
136, 1
137, 4
138, 1
139, 1
140, 1
141, 4
142, 1
143, 2
144, 1
145, 1
146, 4
147, 1
148, 4
149, 4
150, 4
151, 4
152, 1
153, 1
154, 2
155, 2
156, 2
157, 2
158, 2
159, 4
160, 2
161, 1
162, 2
163, 1
164, 1
165, 4
166, 4
167, 4
168, 2
169, 2
170, 4
171, 2
172, 2
173, 2
174, 2
175, 4
176, 2
177, 1
178, 2
179, 2
180, 2
181, 2
182, 2
183, 4
184, 2
185, 4
186, 2
187, 1
188, 4
189, 2
190, 2
191, 4
192, 2
193, 2
194, 1
195, 2
196, 4
197, 2
198, 2
199, 2
200, 2
201, 2
202, 2
203, 4
204, 2
205, 2
206, 2
207, 2
208, 2
209, 2
210, 4
211, 2
212, 2
213, 2
214, 2
215, 1
216, 2
217, 2
218, 2
219, 2
220, 2
221, 8
222, 2
223, 1
224, 4
225, 5
226, 4
227, 5
228, 2
229, 2
230, 4
231, 4
232, 4
233, 4
234, 2
235, 2
236, 2
237, 1
238, 4
239, 2
240, 4
241, 4
242, 2
243, 4
244, 2
245, 4
246, 4
247, 1
248, 1
249, 4
250, 4
251, 1
252, 4
253, 8
254, 2
255, 3
256, 1
257, 2
258, 4
259, 4
260, 4
261, 4
262, 4
263, 4
264, 2
265, 2
266, 4
267, 1
268, 3
269, 4
270, 4
271, 1
272, 1
273, 1
274, 1
275, 2
276, 4
277, 4
278, 1
279, 4
280, 2
281, 5
282, 1
283, 6
284, 2
285, 4
286, 1
287, 4
288, 1
289, 5
290, 1
291, 5
292, 4
293, 2
294, 1
295, 1
296, 5
297, 10
298, 5
299, 1
300, 5
301, 2
302, 1
303, 2
304, 9
305, 4
306, 4
307, 2
308, 4
309, 4
310, 1
311, 4
312, 1
313, 4
314, 2
315, 1
316, 1
317, 2
318, 2
319, 4
320, 2
321, 4
322, 4
323, 1
324, 4
325, 2
326, 2
327, 4
328, 4
329, 4
330, 1
331, 4
332, 2
333, 1
334, 1
335, 5
336, 4
337, 1
338, 4
339, 4
340, 4
341, 2
342, 4
343, 1
344, 2
345, 4
346, 8
347, 4
348, 1
349, 4
350, 1
351, 8
352, 8
353, 1
354, 4
355, 4
356, 1
357, 4
358, 2
359, 1
360, 1
361, 1
362, 2
363, 2
364, 1
365, 1
366, 1
367, 8
368, 1
369, 1
370, 4
371, 4
372, 4
373, 2
374, 1
375, 4
376, 2
377, 4
378, 4
379, 4
380, 1
381, 1
382, 4
383, 1
384, 4
385, 4
386, 4
387, 1
388, 1
389, 1
390, 4
391, 1
392, 4
393, 1
394, 1
395, 4
396, 1
397, 2
398, 1
399, 4
400, 1
401, 4
402, 2
403, 4
404, 2
405, 6
406, 2
407, 4
408, 6
409, 2
410, 2
411, 4
412, 3
413, 4
414, 4
415, 1
416, 1
417, 1
418, 2
419, 2
420, 4
421, 4
422, 1
423, 5
424, 2
425, 2
426, 2
427, 4
428, 2
429, 4
430, 2
431, 4
432, 1
433, 1
434, 1
435, 2
436, 2
437, 3
438, 2
439, 3
440, 5
441, 5
442, 2
443, 3
444, 3
445, 1
446, 1
447, 2
448, 2
449, 1
450, 2
451, 1
452, 1
453, 1
454, 2
455, 1
456, 11
457, 1
458, 1
459, 1
460, 1
461, 1
462, 1
463, 1
464, 1
465, 1
466, 1
467, 1
468, 1
469, 1
470, 1
471, 1
472, 1
473, 2
474, 1
475, 4
476, 1
477, 12
478, 1
479, 1
480, 1
481, 1
482, 1
